model,setting,groupn,run,s,a,first.stable.gen,n.gens.stable,first.stable.gen.fuzzy,n.gens.stable.fuzzy
ncs,x,30,1,0,0,1,99,1,99
ncs,x,30,2,0,0,1,99,1,99
ncs,x,30,3,0,0,1,99,1,99
ncs,x,30,4,0,0,1,99,1,99
ncs,x,30,5,0,0,1,99,1,99
ncs,x,30,6,0,0,1,99,1,99
ncs,x,30,7,0,0,1,99,1,99
ncs,x,30,8,0,0,1,99,1,99
ncs,x,30,9,0,0,1,99,1,99
ncs,x,30,10,0,0,1,99,1,99
ncs,x,30,11,0,0,1,99,1,99
ncs,x,30,12,0,0,1,99,1,99
ncs,x,30,13,0,0,1,99,1,99
ncs,x,30,14,0,0,1,99,1,99
ncs,x,30,15,0,0,1,99,1,99
ncs,x,30,16,0,0,1,99,1,99
ncs,x,30,17,0,0,1,99,1,99
ncs,x,30,18,0,0,1,99,1,99
ncs,x,30,19,0,0,1,99,1,99
ncs,x,30,20,0,0,1,99,1,99
ncs,x,30,1,0,1,100,0,100,0
ncs,x,30,2,0,1,100,0,100,0
ncs,x,30,3,0,1,100,0,92,8
ncs,x,30,4,0,1,100,0,100,0
ncs,x,30,5,0,1,100,0,100,0
ncs,x,30,6,0,1,100,0,100,0
ncs,x,30,7,0,1,100,0,100,0
ncs,x,30,8,0,1,100,0,100,0
ncs,x,30,9,0,1,100,0,100,0
ncs,x,30,10,0,1,100,0,100,0
ncs,x,30,11,0,1,100,0,100,0
ncs,x,30,12,0,1,100,0,100,0
ncs,x,30,13,0,1,100,0,100,0
ncs,x,30,14,0,1,100,0,100,0
ncs,x,30,15,0,1,100,0,100,0
ncs,x,30,16,0,1,100,0,100,0
ncs,x,30,17,0,1,100,0,100,0
ncs,x,30,18,0,1,100,0,100,0
ncs,x,30,19,0,1,100,0,100,0
ncs,x,30,20,0,1,100,0,100,0
ncs,x,30,1,0,2,100,0,100,0
ncs,x,30,2,0,2,100,0,100,0
ncs,x,30,3,0,2,100,0,100,0
ncs,x,30,4,0,2,100,0,100,0
ncs,x,30,5,0,2,100,0,100,0
ncs,x,30,6,0,2,99,1,99,1
ncs,x,30,7,0,2,100,0,100,0
ncs,x,30,8,0,2,98,2,98,2
ncs,x,30,9,0,2,96,4,96,4
ncs,x,30,10,0,2,96,4,96,4
ncs,x,30,11,0,2,100,0,100,0
ncs,x,30,12,0,2,100,0,100,0
ncs,x,30,13,0,2,99,1,99,1
ncs,x,30,14,0,2,100,0,100,0
ncs,x,30,15,0,2,100,0,100,0
ncs,x,30,16,0,2,100,0,100,0
ncs,x,30,17,0,2,100,0,100,0
ncs,x,30,18,0,2,95,5,95,5
ncs,x,30,19,0,2,100,0,100,0
ncs,x,30,20,0,2,100,0,100,0
ncs,x,30,1,0,3,89,11,89,11
ncs,x,30,2,0,3,99,1,100,0
ncs,x,30,3,0,3,95,5,95,5
ncs,x,30,4,0,3,95,5,95,5
ncs,x,30,5,0,3,93,7,93,7
ncs,x,30,6,0,3,99,1,99,1
ncs,x,30,7,0,3,95,5,95,5
ncs,x,30,8,0,3,92,8,92,8
ncs,x,30,9,0,3,85,15,85,15
ncs,x,30,10,0,3,91,9,91,9
ncs,x,30,11,0,3,90,10,90,10
ncs,x,30,12,0,3,100,0,100,0
ncs,x,30,13,0,3,85,15,85,15
ncs,x,30,14,0,3,100,0,100,0
ncs,x,30,15,0,3,92,8,92,8
ncs,x,30,16,0,3,91,9,91,9
ncs,x,30,17,0,3,100,0,100,0
ncs,x,30,18,0,3,99,1,100,0
ncs,x,30,19,0,3,100,0,100,0
ncs,x,30,20,0,3,100,0,100,0
ncs,x,30,1,0,4,91,9,91,9
ncs,x,30,2,0,4,95,5,95,5
ncs,x,30,3,0,4,90,10,90,10
ncs,x,30,4,0,4,100,0,100,0
ncs,x,30,5,0,4,92,8,92,8
ncs,x,30,6,0,4,100,0,100,0
ncs,x,30,7,0,4,86,14,86,14
ncs,x,30,8,0,4,93,7,93,7
ncs,x,30,9,0,4,91,9,91,9
ncs,x,30,10,0,4,90,10,90,10
ncs,x,30,11,0,4,86,14,86,14
ncs,x,30,12,0,4,98,2,98,2
ncs,x,30,13,0,4,84,16,84,16
ncs,x,30,14,0,4,100,0,100,0
ncs,x,30,15,0,4,95,5,95,5
ncs,x,30,16,0,4,93,7,93,7
ncs,x,30,17,0,4,88,12,88,12
ncs,x,30,18,0,4,93,7,93,7
ncs,x,30,19,0,4,83,17,83,17
ncs,x,30,20,0,4,94,6,94,6
ncs,x,30,1,0,5,90,10,90,10
ncs,x,30,2,0,5,87,13,87,13
ncs,x,30,3,0,5,77,23,77,23
ncs,x,30,4,0,5,86,14,86,14
ncs,x,30,5,0,5,86,14,86,14
ncs,x,30,6,0,5,82,18,82,18
ncs,x,30,7,0,5,100,0,100,0
ncs,x,30,8,0,5,96,4,96,4
ncs,x,30,9,0,5,100,0,100,0
ncs,x,30,10,0,5,79,21,79,21
ncs,x,30,11,0,5,97,3,97,3
ncs,x,30,12,0,5,92,8,92,8
ncs,x,30,13,0,5,91,9,91,9
ncs,x,30,14,0,5,100,0,100,0
ncs,x,30,15,0,5,99,1,72,28
ncs,x,30,16,0,5,89,11,89,11
ncs,x,30,17,0,5,82,18,82,18
ncs,x,30,18,0,5,86,14,86,14
ncs,x,30,19,0,5,86,14,86,14
ncs,x,30,20,0,5,95,5,95,5
ncs,x,30,1,0,6,88,12,88,12
ncs,x,30,2,0,6,100,0,100,0
ncs,x,30,3,0,6,85,15,85,15
ncs,x,30,4,0,6,83,17,83,17
ncs,x,30,5,0,6,93,7,93,7
ncs,x,30,6,0,6,91,9,91,9
ncs,x,30,7,0,6,80,20,80,20
ncs,x,30,8,0,6,93,7,93,7
ncs,x,30,9,0,6,81,19,81,19
ncs,x,30,10,0,6,86,14,86,14
ncs,x,30,11,0,6,85,15,85,15
ncs,x,30,12,0,6,80,20,80,20
ncs,x,30,13,0,6,87,13,87,13
ncs,x,30,14,0,6,89,11,89,11
ncs,x,30,15,0,6,100,0,100,0
ncs,x,30,16,0,6,100,0,100,0
ncs,x,30,17,0,6,84,16,84,16
ncs,x,30,18,0,6,85,15,85,15
ncs,x,30,19,0,6,90,10,90,10
ncs,x,30,20,0,6,100,0,100,0
ncs,x,30,1,0,7,93,7,93,7
ncs,x,30,2,0,7,100,0,100,0
ncs,x,30,3,0,7,97,3,97,3
ncs,x,30,4,0,7,99,1,100,0
ncs,x,30,5,0,7,82,18,82,18
ncs,x,30,6,0,7,83,17,83,17
ncs,x,30,7,0,7,86,14,86,14
ncs,x,30,8,0,7,81,19,81,19
ncs,x,30,9,0,7,99,1,99,1
ncs,x,30,10,0,7,84,16,84,16
ncs,x,30,11,0,7,99,1,88,12
ncs,x,30,12,0,7,100,0,100,0
ncs,x,30,13,0,7,92,8,92,8
ncs,x,30,14,0,7,75,25,75,25
ncs,x,30,15,0,7,82,18,82,18
ncs,x,30,16,0,7,88,12,88,12
ncs,x,30,17,0,7,92,8,92,8
ncs,x,30,18,0,7,91,9,91,9
ncs,x,30,19,0,7,89,11,89,11
ncs,x,30,20,0,7,80,20,80,20
ncs,x,30,1,0,8,94,6,94,6
ncs,x,30,2,0,8,83,17,83,17
ncs,x,30,3,0,8,84,16,84,16
ncs,x,30,4,0,8,100,0,100,0
ncs,x,30,5,0,8,80,20,80,20
ncs,x,30,6,0,8,88,12,88,12
ncs,x,30,7,0,8,97,3,97,3
ncs,x,30,8,0,8,90,10,90,10
ncs,x,30,9,0,8,100,0,100,0
ncs,x,30,10,0,8,97,3,97,3
ncs,x,30,11,0,8,92,8,92,8
ncs,x,30,12,0,8,100,0,100,0
ncs,x,30,13,0,8,86,14,86,14
ncs,x,30,14,0,8,86,14,86,14
ncs,x,30,15,0,8,99,1,73,27
ncs,x,30,16,0,8,98,2,98,2
ncs,x,30,17,0,8,98,2,98,2
ncs,x,30,18,0,8,94,6,94,6
ncs,x,30,19,0,8,100,0,100,0
ncs,x,30,20,0,8,83,17,83,17
ncs,x,30,1,0,9,90,10,90,10
ncs,x,30,2,0,9,100,0,100,0
ncs,x,30,3,0,9,85,15,85,15
ncs,x,30,4,0,9,84,16,84,16
ncs,x,30,5,0,9,97,3,97,3
ncs,x,30,6,0,9,81,19,81,19
ncs,x,30,7,0,9,84,16,84,16
ncs,x,30,8,0,9,84,16,84,16
ncs,x,30,9,0,9,78,22,78,22
ncs,x,30,10,0,9,94,6,94,6
ncs,x,30,11,0,9,96,4,96,4
ncs,x,30,12,0,9,100,0,100,0
ncs,x,30,13,0,9,100,0,100,0
ncs,x,30,14,0,9,100,0,100,0
ncs,x,30,15,0,9,96,4,96,4
ncs,x,30,16,0,9,100,0,100,0
ncs,x,30,17,0,9,81,19,81,19
ncs,x,30,18,0,9,84,16,84,16
ncs,x,30,19,0,9,85,15,85,15
ncs,x,30,20,0,9,100,0,100,0
ncs,x,30,1,0.05,0,1,99,100,0
ncs,x,30,2,0.05,0,1,99,100,0
ncs,x,30,3,0.05,0,1,99,100,0
ncs,x,30,4,0.05,0,1,99,100,0
ncs,x,30,5,0.05,0,1,99,100,0
ncs,x,30,6,0.05,0,1,99,100,0
ncs,x,30,7,0.05,0,1,99,100,0
ncs,x,30,8,0.05,0,1,99,100,0
ncs,x,30,9,0.05,0,1,99,100,0
ncs,x,30,10,0.05,0,1,99,100,0
ncs,x,30,11,0.05,0,1,99,100,0
ncs,x,30,12,0.05,0,1,99,100,0
