model,setting,groupn,run,s,a,first.stable.gen,n.gens.stable,first.stable.gen.fuzzy,n.gens.stable.fuzzy
pfd,x,30,1,0,0,1,99,1,99
pfd,x,30,2,0,0,1,99,1,99
pfd,x,30,3,0,0,1,99,1,99
pfd,x,30,4,0,0,1,99,1,99
pfd,x,30,5,0,0,1,99,1,99
pfd,x,30,6,0,0,1,99,1,99
pfd,x,30,7,0,0,1,99,1,99
pfd,x,30,8,0,0,1,99,1,99
pfd,x,30,9,0,0,1,99,1,99
pfd,x,30,10,0,0,1,99,1,99
pfd,x,30,11,0,0,1,99,1,99
pfd,x,30,12,0,0,1,99,1,99
pfd,x,30,13,0,0,1,99,1,99
pfd,x,30,14,0,0,1,99,1,99
pfd,x,30,15,0,0,1,99,1,99
pfd,x,30,16,0,0,1,99,1,99
pfd,x,30,17,0,0,1,99,1,99
pfd,x,30,18,0,0,1,99,1,99
pfd,x,30,19,0,0,1,99,1,99
pfd,x,30,20,0,0,1,99,1,99
pfd,x,30,1,0,1,100,0,100,0
pfd,x,30,2,0,1,100,0,100,0
pfd,x,30,3,0,1,100,0,100,0
pfd,x,30,4,0,1,100,0,100,0
pfd,x,30,5,0,1,100,0,100,0
pfd,x,30,6,0,1,99,1,69,31
pfd,x,30,7,0,1,99,1,65,35
pfd,x,30,8,0,1,100,0,100,0
pfd,x,30,9,0,1,100,0,100,0
pfd,x,30,10,0,1,100,0,100,0
pfd,x,30,11,0,1,99,1,72,28
pfd,x,30,12,0,1,100,0,100,0
pfd,x,30,13,0,1,100,0,100,0
pfd,x,30,14,0,1,100,0,100,0
pfd,x,30,15,0,1,100,0,100,0
pfd,x,30,16,0,1,100,0,100,0
pfd,x,30,17,0,1,100,0,100,0
pfd,x,30,18,0,1,100,0,100,0
pfd,x,30,19,0,1,99,1,77,23
pfd,x,30,20,0,1,100,0,86,14
pfd,x,30,1,0,2,75,25,75,25
pfd,x,30,2,0,2,73,27,73,27
pfd,x,30,3,0,2,76,24,76,24
pfd,x,30,4,0,2,74,26,74,26
pfd,x,30,5,0,2,74,26,74,26
pfd,x,30,6,0,2,74,26,74,26
pfd,x,30,7,0,2,76,24,76,24
pfd,x,30,8,0,2,74,26,74,26
pfd,x,30,9,0,2,75,25,75,25
pfd,x,30,10,0,2,75,25,75,25
pfd,x,30,11,0,2,75,25,75,25
pfd,x,30,12,0,2,74,26,74,26
pfd,x,30,13,0,2,75,25,75,25
pfd,x,30,14,0,2,100,0,56,44
pfd,x,30,15,0,2,75,25,75,25
pfd,x,30,16,0,2,81,19,81,19
pfd,x,30,17,0,2,74,26,74,26
pfd,x,30,18,0,2,74,26,74,26
pfd,x,30,19,0,2,74,26,74,26
pfd,x,30,20,0,2,75,25,75,25
pfd,x,30,1,0,3,71,29,71,29
pfd,x,30,2,0,3,100,0,48,52
pfd,x,30,3,0,3,100,0,48,52
pfd,x,30,4,0,3,64,36,64,36
pfd,x,30,5,0,3,66,34,66,34
pfd,x,30,6,0,3,64,36,64,36
pfd,x,30,7,0,3,64,36,64,36
pfd,x,30,8,0,3,64,36,64,36
pfd,x,30,9,0,3,65,35,65,35
pfd,x,30,10,0,3,65,35,65,35
pfd,x,30,11,0,3,62,38,62,38
pfd,x,30,12,0,3,65,35,65,35
pfd,x,30,13,0,3,99,1,46,54
pfd,x,30,14,0,3,64,36,64,36
pfd,x,30,15,0,3,65,35,65,35
pfd,x,30,16,0,3,64,36,64,36
pfd,x,30,17,0,3,65,35,65,35
pfd,x,30,18,0,3,65,35,65,35
pfd,x,30,19,0,3,100,0,58,42
pfd,x,30,20,0,3,65,35,65,35
pfd,x,30,1,0,4,99,1,35,65
pfd,x,30,2,0,4,60,40,60,40
pfd,x,30,3,0,4,100,0,48,52
pfd,x,30,4,0,4,60,40,60,40
pfd,x,30,5,0,4,61,39,61,39
pfd,x,30,6,0,4,59,41,59,41
pfd,x,30,7,0,4,62,38,62,38
pfd,x,30,8,0,4,59,41,59,41
pfd,x,30,9,0,4,60,40,60,40
pfd,x,30,10,0,4,100,0,46,54
pfd,x,30,11,0,4,59,41,59,41
pfd,x,30,12,0,4,62,38,62,38
pfd,x,30,13,0,4,59,41,59,41
pfd,x,30,14,0,4,69,31,69,31
pfd,x,30,15,0,4,60,40,60,40
pfd,x,30,16,0,4,58,42,58,42
pfd,x,30,17,0,4,60,40,60,40
pfd,x,30,18,0,4,59,41,59,41
pfd,x,30,19,0,4,59,41,59,41
pfd,x,30,20,0,4,60,40,60,40
pfd,x,30,1,0,5,63,37,63,37
pfd,x,30,2,0,5,57,43,57,43
pfd,x,30,3,0,5,59,41,59,41
pfd,x,30,4,0,5,57,43,57,43
pfd,x,30,5,0,5,56,44,56,44
pfd,x,30,6,0,5,61,39,61,39
pfd,x,30,7,0,5,56,44,56,44
pfd,x,30,8,0,5,56,44,56,44
pfd,x,30,9,0,5,58,42,58,42
pfd,x,30,10,0,5,98,2,42,58
pfd,x,30,11,0,5,99,1,63,37
pfd,x,30,12,0,5,56,44,56,44
pfd,x,30,13,0,5,100,0,42,58
pfd,x,30,14,0,5,57,43,57,43
pfd,x,30,15,0,5,57,43,57,43
pfd,x,30,16,0,5,59,41,59,41
pfd,x,30,17,0,5,100,0,47,53
pfd,x,30,18,0,5,92,8,32,68
pfd,x,30,19,0,5,57,43,57,43
pfd,x,30,20,0,5,56,44,56,44
pfd,x,30,1,0,6,99,1,43,57
pfd,x,30,2,0,6,55,45,55,45
pfd,x,30,3,0,6,54,46,54,46
pfd,x,30,4,0,6,54,46,54,46
pfd,x,30,5,0,6,55,45,55,45
pfd,x,30,6,0,6,56,44,56,44
pfd,x,30,7,0,6,54,46,54,46
pfd,x,30,8,0,6,55,45,55,45
pfd,x,30,9,0,6,54,46,54,46
pfd,x,30,10,0,6,52,48,53,47
pfd,x,30,11,0,6,55,45,55,45
pfd,x,30,12,0,6,57,43,57,43
pfd,x,30,13,0,6,54,46,54,46
pfd,x,30,14,0,6,100,0,43,57
pfd,x,30,15,0,6,54,46,54,46
pfd,x,30,16,0,6,54,46,54,46
pfd,x,30,17,0,6,54,46,54,46
pfd,x,30,18,0,6,54,46,54,46
pfd,x,30,19,0,6,57,43,57,43
pfd,x,30,20,0,6,54,46,54,46
pfd,x,30,1,0,7,56,44,56,44
pfd,x,30,2,0,7,53,47,53,47
pfd,x,30,3,0,7,99,1,38,62
pfd,x,30,4,0,7,56,44,56,44
pfd,x,30,5,0,7,53,47,53,47
pfd,x,30,6,0,7,53,47,53,47
pfd,x,30,7,0,7,99,1,38,62
pfd,x,30,8,0,7,52,48,52,48
pfd,x,30,9,0,7,55,45,55,45
pfd,x,30,10,0,7,100,0,60,40
pfd,x,30,11,0,7,52,48,52,48
pfd,x,30,12,0,7,100,0,50,50
pfd,x,30,13,0,7,54,46,54,46
pfd,x,30,14,0,7,54,46,54,46
pfd,x,30,15,0,7,54,46,54,46
pfd,x,30,16,0,7,53,47,53,47
pfd,x,30,17,0,7,54,46,54,46
pfd,x,30,18,0,7,53,47,53,47
pfd,x,30,19,0,7,99,1,48,52
pfd,x,30,20,0,7,100,0,47,53
pfd,x,30,1,0,8,99,1,56,44
pfd,x,30,2,0,8,98,2,41,59
pfd,x,30,3,0,8,52,48,52,48
pfd,x,30,4,0,8,55,45,55,45
pfd,x,30,5,0,8,53,47,53,47
pfd,x,30,6,0,8,53,47,53,47
pfd,x,30,7,0,8,54,46,54,46
pfd,x,30,8,0,8,53,47,53,47
pfd,x,30,9,0,8,99,1,46,54
pfd,x,30,10,0,8,53,47,53,47
pfd,x,30,11,0,8,51,49,51,49
pfd,x,30,12,0,8,51,49,51,49
pfd,x,30,13,0,8,51,49,51,49
pfd,x,30,14,0,8,99,1,44,56
pfd,x,30,15,0,8,50,50,50,50
pfd,x,30,16,0,8,100,0,52,48
pfd,x,30,17,0,8,55,45,55,45
pfd,x,30,18,0,8,55,45,55,45
pfd,x,30,19,0,8,54,46,54,46
pfd,x,30,20,0,8,100,0,52,48
pfd,x,30,1,0,9,52,48,52,48
pfd,x,30,2,0,9,51,49,51,49
pfd,x,30,3,0,9,51,49,51,49
pfd,x,30,4,0,9,52,48,52,48
pfd,x,30,5,0,9,100,0,52,48
pfd,x,30,6,0,9,99,1,39,61
pfd,x,30,7,0,9,52,48,52,48
pfd,x,30,8,0,9,58,42,58,42
pfd,x,30,9,0,9,50,50,50,50
pfd,x,30,10,0,9,55,45,55,45
pfd,x,30,11,0,9,54,46,54,46
pfd,x,30,12,0,9,100,0,47,53
pfd,x,30,13,0,9,52,48,52,48
pfd,x,30,14,0,9,98,2,36,64
pfd,x,30,15,0,9,99,1,44,56
pfd,x,30,16,0,9,52,48,52,48
pfd,x,30,17,0,9,58,42,58,42
pfd,x,30,18,0,9,52,48,52,48
pfd,x,30,19,0,9,99,1,38,62
pfd,x,30,20,0,9,100,0,48,52
pfd,x,30,1,0.05,0,1,99,100,0
pfd,x,30,2,0.05,0,1,99,100,0
pfd,x,30,3,0.05,0,1,99,100,0
pfd,x,30,4,0.05,0,1,99,100,0
pfd,x,30,5,0.05,0,1,99,100,0
pfd,x,30,6,0.05,0,1,99,100,0
pfd,x,30,7,0.05,0,1,99,100,0
pfd,x,30,8,0.05,0,1,99,100,0
pfd,x,30,9,0.05,0,1,99,100,0
pfd,x,30,10,0.05,0,1,99,100,0
pfd,x,30,11,0.05,0,1,99,100,0
pfd,x,30,12,0.05,0,1,99,100,0
pfd,x,30,13,0.05,0,1,99,100,0
pfd,x,30,14,0.05,0,1,99,100,0
pfd,x,30,15,0.05,0,1,99,100,0
pfd,x,30,16,0.05,0,1,99,100,0
pfd,x,30,17,0.05,0,1,99,100,0
pfd,x,30,18,0.05,0,1,99,100,0
pfd,x,30,19,0.05,0,1,99,100,0
pfd,x,30,20,0.05,0,1,99,100,0
pfd,x,30,1,0.05,1,100,0,100,0
pfd,x,30,2,0.05,1,100,0,100,0
pfd,x,30,3,0.05,1,100,0,100,0
pfd,x,30,4,0.05,1,100,0,100,0
pfd,x,30,5,0.05,1,100,0,100,0
pfd,x,30,6,0.05,1,100,0,100,0
pfd,x,30,7,0.05,1,100,0,100,0
pfd,x,30,8,0.05,1,100,0,100,0
pfd,x,30,9,0.05,1,100,0,100,0
pfd,x,30,10,0.05,1,100,0,100,0
pfd,x,30,11,0.05,1,100,0,100,0
pfd,x,30,12,0.05,1,100,0,100,0
pfd,x,30,13,0.05,1,100,0,100,0
pfd,x,30,14,0.05,1,100,0,100,0
pfd,x,30,15,0.05,1,100,0,100,0
pfd,x,30,16,0.05,1,100,0,100,0
pfd,x,30,17,0.05,1,100,0,100,0
pfd,x,30,18,0.05,1,100,0,100,0
pfd,x,30,19,0.05,1,100,0,100,0
pfd,x,30,20,0.05,1,100,0,100,0
pfd,x,30,1,0.05,2,75,25,75,25
pfd,x,30,2,0.05,2,77,23,77,23
pfd,x,30,3,0.05,2,75,25,75,25
pfd,x,30,4,0.05,2,76,24,76,24
pfd,x,30,5,0.05,2,75,25,75,25
pfd,x,30,6,0.05,2,75,25,75,25
pfd,x,30,7,0.05,2,76,24,76,24
pfd,x,30,8,0.05,2,76,24,76,24
pfd,x,30,9,0.05,2,75,25,75,25
pfd,x,30,10,0.05,2,75,25,75,25
pfd,x,30,11,0.05,2,76,24,76,24
pfd,x,30,12,0.05,2,76,24,76,24
pfd,x,30,13,0.05,2,76,24,76,24
pfd,x,30,14,0.05,2,76,24,76,24
pfd,x,30,15,0.05,2,75,25,75,25
pfd,x,30,16,0.05,2,75,25,75,25
pfd,x,30,17,0.05,2,75,25,75,25
pfd,x,30,18,0.05,2,75,25,75,25
pfd,x,30,19,0.05,2,77,23,77,23
pfd,x,30,20,0.05,2,76,24,76,24
pfd,x,30,1,0.05,3,64,36,64,36
pfd,x,30,2,0.05,3,64,36,64,36
pfd,x,30,3,0.05,3,64,36,64,36
pfd,x,30,4,0.05,3,64,36,64,36
pfd,x,30,5,0.05,3,65,35,65,35
pfd,x,30,6,0.05,3,64,36,64,36
pfd,x,30,7,0.05,3,65,35,65,35
pfd,x,30,8,0.05,3,64,36,64,36
pfd,x,30,9,0.05,3,64,36,64,36
pfd,x,30,10,0.05,3,64,36,64,36
pfd,x,30,11,0.05,3,64,36,64,36
pfd,x,30,12,0.05,3,64,36,64,36
pfd,x,30,13,0.05,3,65,35,65,35
pfd,x,30,14,0.05,3,64,36,64,36
pfd,x,30,15,0.05,3,64,36,64,36
pfd,x,30,16,0.05,3,64,36,64,36
pfd,x,30,17,0.05,3,64,36,64,36
pfd,x,30,18,0.05,3,64,36,64,36
pfd,x,30,19,0.05,3,65,35,65,35
pfd,x,30,20,0.05,3,65,35,65,35
pfd,x,30,1,0.05,4,59,41,59,41
pfd,x,30,2,0.05,4,59,41,59,41
pfd,x,30,3,0.05,4,59,41,59,41
pfd,x,30,4,0.05,4,59,41,59,41
pfd,x,30,5,0.05,4,59,41,59,41
pfd,x,30,6,0.05,4,59,41,59,41
pfd,x,30,7,0.05,4,59,41,59,41
pfd,x,30,8,0.05,4,59,41,59,41
pfd,x,30,9,0.05,4,59,41,59,41
pfd,x,30,10,0.05,4,59,41,59,41
pfd,x,30,11,0.05,4,59,41,59,41
pfd,x,30,12,0.05,4,59,41,59,41
pfd,x,30,13,0.05,4,59,41,59,41
pfd,x,30,14,0.05,4,59,41,59,41
pfd,x,30,15,0.05,4,59,41,59,41
pfd,x,30,16,0.05,4,59,41,59,41
pfd,x,30,17,0.05,4,59,41,59,41
pfd,x,30,18,0.05,4,59,41,59,41
pfd,x,30,19,0.05,4,59,41,59,41
pfd,x,30,20,0.05,4,59,41,59,41
pfd,x,30,1,0.05,5,56,44,56,44
pfd,x,30,2,0.05,5,56,44,56,44
pfd,x,30,3,0.05,5,56,44,56,44
pfd,x,30,4,0.05,5,56,44,56,44
pfd,x,30,5,0.05,5,56,44,56,44
pfd,x,30,6,0.05,5,55,45,55,45
pfd,x,30,7,0.05,5,55,45,55,45
pfd,x,30,8,0.05,5,56,44,56,44
pfd,x,30,9,0.05,5,55,45,55,45
pfd,x,30,10,0.05,5,56,44,56,44
pfd,x,30,11,0.05,5,55,45,55,45
pfd,x,30,12,0.05,5,55,45,55,45
pfd,x,30,13,0.05,5,55,45,55,45
pfd,x,30,14,0.05,5,56,44,56,44
pfd,x,30,15,0.05,5,56,44,56,44
pfd,x,30,16,0.05,5,56,44,56,44
pfd,x,30,17,0.05,5,56,44,56,44
pfd,x,30,18,0.05,5,56,44,56,44
pfd,x,30,19,0.05,5,55,45,55,45
pfd,x,30,20,0.05,5,55,45,55,45
pfd,x,30,1,0.05,6,53,47,53,47
pfd,x,30,2,0.05,6,54,46,54,46
pfd,x,30,3,0.05,6,54,46,54,46
pfd,x,30,4,0.05,6,53,47,53,47
pfd,x,30,5,0.05,6,54,46,54,46
pfd,x,30,6,0.05,6,54,46,54,46
pfd,x,30,7,0.05,6,53,47,53,47
pfd,x,30,8,0.05,6,54,46,54,46
pfd,x,30,9,0.05,6,53,47,53,47
pfd,x,30,10,0.05,6,53,47,53,47
pfd,x,30,11,0.05,6,53,47,53,47
pfd,x,30,12,0.05,6,53,47,53,47
pfd,x,30,13,0.05,6,53,47,53,47
pfd,x,30,14,0.05,6,54,46,54,46
pfd,x,30,15,0.05,6,54,46,54,46
pfd,x,30,16,0.05,6,54,46,54,46
pfd,x,30,17,0.05,6,53,47,53,47
pfd,x,30,18,0.05,6,53,47,53,47
pfd,x,30,19,0.05,6,53,47,53,47
pfd,x,30,20,0.05,6,53,47,53,47
pfd,x,30,1,0.05,7,52,48,52,48
pfd,x,30,2,0.05,7,52,48,52,48
pfd,x,30,3,0.05,7,52,48,52,48
pfd,x,30,4,0.05,7,52,48,52,48
pfd,x,30,5,0.05,7,52,48,52,48
pfd,x,30,6,0.05,7,52,48,52,48
pfd,x,30,7,0.05,7,52,48,52,48
pfd,x,30,8,0.05,7,52,48,52,48
pfd,x,30,9,0.05,7,53,47,53,47
pfd,x,30,10,0.05,7,52,48,52,48
pfd,x,30,11,0.05,7,52,48,52,48
pfd,x,30,12,0.05,7,52,48,52,48
pfd,x,30,13,0.05,7,52,48,52,48
pfd,x,30,14,0.05,7,51,49,51,49
pfd,x,30,15,0.05,7,52,48,52,48
pfd,x,30,16,0.05,7,51,49,51,49
pfd,x,30,17,0.05,7,52,48,52,48
pfd,x,30,18,0.05,7,53,47,53,47
pfd,x,30,19,0.05,7,52,48,52,48
pfd,x,30,20,0.05,7,52,48,52,48
pfd,x,30,1,0.05,8,51,49,51,49
pfd,x,30,2,0.05,8,51,49,51,49
pfd,x,30,3,0.05,8,51,49,51,49
pfd,x,30,4,0.05,8,50,50,50,50
pfd,x,30,5,0.05,8,51,49,51,49
pfd,x,30,6,0.05,8,52,48,52,48
pfd,x,30,7,0.05,8,51,49,51,49
pfd,x,30,8,0.05,8,51,49,51,49
pfd,x,30,9,0.05,8,51,49,51,49
pfd,x,30,10,0.05,8,51,49,51,49
pfd,x,30,11,0.05,8,51,49,51,49
pfd,x,30,12,0.05,8,51,49,51,49
pfd,x,30,13,0.05,8,51,49,51,49
pfd,x,30,14,0.05,8,51,49,51,49
pfd,x,30,15,0.05,8,50,50,50,50
pfd,x,30,16,0.05,8,51,49,51,49
pfd,x,30,17,0.05,8,50,50,50,50
pfd,x,30,18,0.05,8,50,50,50,50
pfd,x,30,19,0.05,8,51,49,51,49
pfd,x,30,20,0.05,8,51,49,51,49
pfd,x,30,1,0.05,9,50,50,50,50
pfd,x,30,2,0.05,9,50,50,50,50
pfd,x,30,3,0.05,9,50,50,50,50
pfd,x,30,4,0.05,9,49,51,49,51
pfd,x,30,5,0.05,9,50,50,50,50
pfd,x,30,6,0.05,9,50,50,50,50
pfd,x,30,7,0.05,9,50,50,50,50
pfd,x,30,8,0.05,9,50,50,50,50
pfd,x,30,9,0.05,9,50,50,50,50
pfd,x,30,10,0.05,9,50,50,50,50
pfd,x,30,11,0.05,9,50,50,50,50
pfd,x,30,12,0.05,9,50,50,50,50
pfd,x,30,13,0.05,9,50,50,50,50
pfd,x,30,14,0.05,9,49,51,49,51
pfd,x,30,15,0.05,9,50,50,50,50
pfd,x,30,16,0.05,9,50,50,50,50
pfd,x,30,17,0.05,9,50,50,50,50
pfd,x,30,18,0.05,9,50,50,50,50
pfd,x,30,19,0.05,9,50,50,50,50
pfd,x,30,20,0.05,9,50,50,50,50
pfd,x,30,1,0.1,0,1,99,100,0
pfd,x,30,2,0.1,0,1,99,100,0
pfd,x,30,3,0.1,0,1,99,100,0
pfd,x,30,4,0.1,0,1,99,100,0
pfd,x,30,5,0.1,0,1,99,100,0
pfd,x,30,6,0.1,0,1,99,100,0
pfd,x,30,7,0.1,0,1,99,100,0
pfd,x,30,8,0.1,0,1,99,100,0
pfd,x,30,9,0.1,0,1,99,100,0
pfd,x,30,10,0.1,0,1,99,100,0
pfd,x,30,11,0.1,0,1,99,100,0
pfd,x,30,12,0.1,0,1,99,100,0
pfd,x,30,13,0.1,0,1,99,100,0
pfd,x,30,14,0.1,0,1,99,100,0
pfd,x,30,15,0.1,0,1,99,100,0
pfd,x,30,16,0.1,0,1,99,100,0
pfd,x,30,17,0.1,0,1,99,100,0
pfd,x,30,18,0.1,0,1,99,100,0
pfd,x,30,19,0.1,0,1,99,100,0
pfd,x,30,20,0.1,0,1,99,100,0
pfd,x,30,1,0.1,1,100,0,100,0
pfd,x,30,2,0.1,1,100,0,100,0
pfd,x,30,3,0.1,1,100,0,100,0
pfd,x,30,4,0.1,1,100,0,100,0
pfd,x,30,5,0.1,1,100,0,100,0
pfd,x,30,6,0.1,1,100,0,100,0
pfd,x,30,7,0.1,1,100,0,100,0
pfd,x,30,8,0.1,1,100,0,100,0
pfd,x,30,9,0.1,1,100,0,100,0
pfd,x,30,10,0.1,1,100,0,100,0
pfd,x,30,11,0.1,1,100,0,100,0
pfd,x,30,12,0.1,1,100,0,100,0
pfd,x,30,13,0.1,1,100,0,100,0
pfd,x,30,14,0.1,1,100,0,100,0
pfd,x,30,15,0.1,1,100,0,100,0
pfd,x,30,16,0.1,1,100,0,100,0
pfd,x,30,17,0.1,1,100,0,100,0
pfd,x,30,18,0.1,1,100,0,100,0
pfd,x,30,19,0.1,1,100,0,100,0
pfd,x,30,20,0.1,1,100,0,100,0
pfd,x,30,1,0.1,2,79,21,79,21
pfd,x,30,2,0.1,2,79,21,79,21
pfd,x,30,3,0.1,2,79,21,79,21
pfd,x,30,4,0.1,2,78,22,78,22
pfd,x,30,5,0.1,2,79,21,79,21
pfd,x,30,6,0.1,2,79,21,79,21
pfd,x,30,7,0.1,2,78,22,78,22
pfd,x,30,8,0.1,2,79,21,79,21
pfd,x,30,9,0.1,2,79,21,79,21
pfd,x,30,10,0.1,2,79,21,79,21
pfd,x,30,11,0.1,2,79,21,79,21
pfd,x,30,12,0.1,2,80,20,80,20
pfd,x,30,13,0.1,2,80,20,80,20
pfd,x,30,14,0.1,2,78,22,78,22
pfd,x,30,15,0.1,2,79,21,79,21
pfd,x,30,16,0.1,2,79,21,79,21
pfd,x,30,17,0.1,2,79,21,79,21
pfd,x,30,18,0.1,2,79,21,79,21
pfd,x,30,19,0.1,2,79,21,79,21
pfd,x,30,20,0.1,2,79,21,79,21
pfd,x,30,1,0.1,3,67,33,67,33
pfd,x,30,2,0.1,3,67,33,67,33
pfd,x,30,3,0.1,3,66,34,66,34
pfd,x,30,4,0.1,3,67,33,67,33
pfd,x,30,5,0.1,3,66,34,66,34
pfd,x,30,6,0.1,3,67,33,67,33
pfd,x,30,7,0.1,3,67,33,67,33
pfd,x,30,8,0.1,3,66,34,66,34
pfd,x,30,9,0.1,3,67,33,67,33
pfd,x,30,10,0.1,3,66,34,66,34
pfd,x,30,11,0.1,3,67,33,67,33
pfd,x,30,12,0.1,3,66,34,66,34
pfd,x,30,13,0.1,3,66,34,66,34
pfd,x,30,14,0.1,3,66,34,66,34
pfd,x,30,15,0.1,3,66,34,66,34
pfd,x,30,16,0.1,3,67,33,67,33
pfd,x,30,17,0.1,3,66,34,66,34
pfd,x,30,18,0.1,3,67,33,67,33
pfd,x,30,19,0.1,3,66,34,66,34
pfd,x,30,20,0.1,3,67,33,67,33
pfd,x,30,1,0.1,4,60,40,60,40
pfd,x,30,2,0.1,4,61,39,61,39
pfd,x,30,3,0.1,4,60,40,60,40
pfd,x,30,4,0.1,4,61,39,61,39
pfd,x,30,5,0.1,4,60,40,60,40
pfd,x,30,6,0.1,4,60,40,60,40
pfd,x,30,7,0.1,4,61,39,61,39
pfd,x,30,8,0.1,4,62,38,62,38
pfd,x,30,9,0.1,4,61,39,61,39
pfd,x,30,10,0.1,4,61,39,61,39
pfd,x,30,11,0.1,4,60,40,60,40
pfd,x,30,12,0.1,4,60,40,60,40
pfd,x,30,13,0.1,4,60,40,60,40
pfd,x,30,14,0.1,4,60,40,60,40
pfd,x,30,15,0.1,4,61,39,61,39
pfd,x,30,16,0.1,4,60,40,60,40
pfd,x,30,17,0.1,4,61,39,61,39
pfd,x,30,18,0.1,4,61,39,61,39
pfd,x,30,19,0.1,4,61,39,61,39
pfd,x,30,20,0.1,4,60,40,60,40
