model,setting,groupn,run,s,a,first.stable.gen,n.gens.stable,first.stable.gen.fuzzy,n.gens.stable.fuzzy
sc,x,100,1,0,0,1,99,1,99
sc,x,100,2,0,0,1,99,1,99
sc,x,100,3,0,0,1,99,1,99
sc,x,100,4,0,0,1,99,1,99
sc,x,100,5,0,0,1,99,1,99
sc,x,100,6,0,0,1,99,1,99
sc,x,100,7,0,0,1,99,1,99
sc,x,100,8,0,0,1,99,1,99
sc,x,100,9,0,0,1,99,1,99
sc,x,100,10,0,0,1,99,1,99
sc,x,100,11,0,0,1,99,1,99
sc,x,100,12,0,0,1,99,1,99
sc,x,100,13,0,0,1,99,1,99
sc,x,100,14,0,0,1,99,1,99
sc,x,100,15,0,0,1,99,1,99
sc,x,100,16,0,0,1,99,1,99
sc,x,100,17,0,0,1,99,1,99
sc,x,100,18,0,0,1,99,1,99
sc,x,100,19,0,0,1,99,1,99
sc,x,100,20,0,0,1,99,1,99
sc,x,100,1,0,1,100,0,100,0
sc,x,100,2,0,1,100,0,100,0
sc,x,100,3,0,1,100,0,100,0
sc,x,100,4,0,1,100,0,100,0
sc,x,100,5,0,1,100,0,100,0
sc,x,100,6,0,1,100,0,100,0
sc,x,100,7,0,1,100,0,100,0
sc,x,100,8,0,1,100,0,100,0
sc,x,100,9,0,1,100,0,100,0
sc,x,100,10,0,1,100,0,100,0
sc,x,100,11,0,1,100,0,100,0
sc,x,100,12,0,1,100,0,100,0
sc,x,100,13,0,1,100,0,100,0
sc,x,100,14,0,1,100,0,100,0
sc,x,100,15,0,1,100,0,100,0
sc,x,100,16,0,1,100,0,100,0
sc,x,100,17,0,1,100,0,100,0
sc,x,100,18,0,1,100,0,100,0
sc,x,100,19,0,1,100,0,100,0
sc,x,100,20,0,1,100,0,100,0
sc,x,100,1,0,2,100,0,100,0
sc,x,100,2,0,2,100,0,100,0
sc,x,100,3,0,2,94,6,94,6
sc,x,100,4,0,2,92,8,92,8
sc,x,100,5,0,2,95,5,95,5
sc,x,100,6,0,2,100,0,100,0
sc,x,100,7,0,2,100,0,100,0
sc,x,100,8,0,2,96,4,96,4
sc,x,100,9,0,2,100,0,100,0
sc,x,100,10,0,2,100,0,100,0
sc,x,100,11,0,2,100,0,100,0
sc,x,100,12,0,2,100,0,100,0
sc,x,100,13,0,2,100,0,100,0
sc,x,100,14,0,2,100,0,100,0
sc,x,100,15,0,2,100,0,100,0
sc,x,100,16,0,2,91,9,91,9
sc,x,100,17,0,2,100,0,100,0
sc,x,100,18,0,2,100,0,100,0
sc,x,100,19,0,2,100,0,100,0
sc,x,100,20,0,2,100,0,100,0
sc,x,100,1,0,3,92,8,92,8
sc,x,100,2,0,3,100,0,100,0
sc,x,100,3,0,3,100,0,100,0
sc,x,100,4,0,3,100,0,100,0
sc,x,100,5,0,3,100,0,100,0
sc,x,100,6,0,3,82,18,82,18
sc,x,100,7,0,3,100,0,100,0
sc,x,100,8,0,3,100,0,100,0
sc,x,100,9,0,3,83,17,83,17
sc,x,100,10,0,3,83,17,83,17
sc,x,100,11,0,3,100,0,100,0
sc,x,100,12,0,3,76,24,76,24
sc,x,100,13,0,3,100,0,100,0
sc,x,100,14,0,3,97,3,97,3
sc,x,100,15,0,3,100,0,100,0
