gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
1,0.1,2,A1,1,0.3375,0.14865,0.18415,0.3297,0.3375
2,0.1,2,B1,2,0.40070505,0.25628604,0.34300891,0.40070505,0
3,0.1,2,A2,4,0.43950754,0.21850571,0.43950754,0.34198675,0
4,0.1,2,A2,4,0.50305061,0.19318864,0.50305061,0.30376075,0
5,0.1,2,A2,3,0.42608522,0.2995099,0.42608522,0.14527906,0.12912583
6,0.1,2,B2,4,0.44183837,0.44183837,0.31111222,0,0.24704941
7,0.1,2,B2,4,0.51517523,0.51517523,0.25994049,0,0.22488428
8,0.1,2,B2,4,0.57133646,0.57133646,0.2234832,0,0.20518034
9,0.1,2,B2,3,0.45874175,0.45874175,0.10847169,0.09831966,0.33446689
10,0.1,2,A1,4,0.50310062,0.3090118,0,0.18788758,0.50310062
11,0.1,2,A1,3,0.43673735,0.14357872,0.12257451,0.29710942,0.43673735
12,0.1,2,B1,4,0.44493899,0,0.23554711,0.44493899,0.3195139
13,0.1,2,B1,4,0.50972918,0,0.21935451,0.50972918,0.27091631
14,0.1,2,B1,4,0.55941783,0,0.20976293,0.55941783,0.23081925
15,0.1,2,B1,4,0.59129697,0,0.19769988,0.59129697,0.21100315
16,0.1,2,B1,4,0.62092418,0,0.1819864,0.62092418,0.19708942
17,0.1,2,B1,4,0.6474795,0,0.17033407,0.6474795,0.18218644
18,0.1,2,B1,1,0.33076615,0.15613123,0.25855171,0.33076615,0.25455091
19,0.1,2,B2,4,0.36292258,0.36292258,0.32591518,0,0.31116223
20,0.1,2,B2,4,0.46679336,0.46679336,0.27370474,0,0.2595019
21,0.1,2,B2,4,0.53818546,0.53818546,0.24000964,0,0.22180491
22,0.1,2,B2,4,0.58629508,0.58629508,0.21915546,0,0.19454946
23,0.1,2,B2,3,0.47994599,0.47994599,0.10282056,0.09276855,0.32446489
24,0.1,2,A1,4,0.49132267,0.32754994,0,0.18112739,0.49132267
25,0.1,2,A1,3,0.42379238,0.15571557,0.12766277,0.29282928,0.42379238
26,0.1,2,B1,4,0.43426641,0,0.2468366,0.43426641,0.31889699
27,0.1,2,B1,4,0.49072205,0,0.2347854,0.49072205,0.27449255
28,0.1,2,B1,4,0.5366088,0,0.22769519,0.5366088,0.23569602
29,0.1,2,B1,4,0.56519061,0,0.21905502,0.56519061,0.21575437
30,0.1,2,B1,4,0.59438839,0,0.20708141,0.59438839,0.19853021
31,0.1,2,B1,4,0.62509453,0,0.19397878,0.62509453,0.18092668
32,0.1,2,B1,2,0.49329866,0.08761752,0.09386877,0.49329866,0.32521504
33,0.1,2,A1,3,0.40706464,0.26553532,0.15431543,0.17308462,0.40706464
34,0.1,2,B2,4,0.41318837,0.41318837,0.27900284,0,0.30780879
