tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
B1,2,0.34725,0.1612,0.15405,0.34725,0.3375
B1,2,0.42501903,0.268712,0.306268972,0.42501903,0
A2,4,0.44517006,0.21343068,0.445170062,0.34139925,0
A2,4,0.55038058,0.17297664,0.550380583,0.27664278,0
A2,3,0.49616974,0.27819768,0.496169741,0.12551255,0.100120024
B2,4,0.44653931,0.44653931,0.369923985,0,0.183536707
B2,4,0.55573036,0.55573036,0.289595828,0,0.154673809
B2,3,0.50910091,0.50910091,0.120912091,0.09850985,0.271477148
A1,4,0.45324532,0.37118712,0,0.17556756,0.453245325
A1,4,0.55973664,0.29199141,0,0.14827195,0.559736645
A1,3,0.5090018,0.12207441,0.110322064,0.25860172,0.5090018
B1,4,0.42393479,0,0.195589118,0.42393479,0.380476095
B1,4,0.52740548,0,0.166383277,0.52740548,0.306211242
B1,4,0.61080416,0,0.153988085,0.61080416,0.23520776
B1,4,0.6721312,0,0.131977772,0.6721312,0.195891026
B1,3,0.56347748,0.06576315,0.2820505,0.56347748,0.088708871
A2,4,0.4979996,0.12172434,0.4979996,0.38027606,0
A2,3,0.49169834,0.22409482,0.49169834,0.1689838,0.115223045
A2,3,0.39917984,0.38672735,0.399179836,0,0.214092819
B2,4,0.50275055,0.50275055,0.317913583,0,0.179335867
B2,4,0.59931986,0.59931986,0.25235047,0,0.148329666
B2,3,0.53070614,0.53070614,0.116973395,0.08981796,0.262502501
A1,4,0.43453691,0.39987998,0,0.16558312,0.434536907
A1,4,0.53110622,0.32231446,0,0.14657932,0.531106221
A1,3,0.49359872,0.1379776,0.117823565,0.25060012,0.49359872
B1,4,0.40758152,0,0.217343469,0.40758152,0.375075015
B1,4,0.50807359,0,0.19277923,0.50807359,0.299147183
B1,4,0.58903978,0,0.173025279,0.58903978,0.237934941
B1,4,0.6539808,0,0.148329666,0.6539808,0.197689538
B1,4,0.71584317,0,0.128875775,0.71584317,0.155281056
B1,2,0.5780156,0.05281056,0.300110022,0.5780156,0.069063813
A2,3,0.45071123,0.17914846,0.450711234,0.20739148,0.162748825
