gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
1,0.1,2,A1,1,0.3375,0.11964286,0.23392857,0.30892857,0.3375
2,0.1,2,B1,2,0.46428571,0.21428571,0.32142857,0.46428571,0
3,0.1,2,A2,4,0.42857143,0.16071429,0.42857143,0.41071429,0
4,0.1,2,A2,4,0.50727513,0.18320106,0.50727513,0.30952381,0
5,0.1,2,B2,4,0.38825032,0.38825032,0.35887612,0.16666667,0.0862069
6,0.1,2,B2,4,0.50862069,0.50862069,0.33374384,0,0.15763547
7,0.1,2,B2,4,0.58928571,0.58928571,0.26785714,0,0.14285714
8,0.1,2,B2,4,0.60714286,0.60714286,0.25,0,0.14285714
9,0.1,2,B2,3,0.48214286,0.48214286,0.16071429,0.10714286,0.25
10,0.1,2,B2,2,0.44642857,0.44642857,0,0.21428571,0.33928571
11,0.1,2,B1,4,0.41071429,0.23214286,0.10714286,0.41071429,0.25
12,0.1,2,B1,4,0.53571429,0,0.19642857,0.53571429,0.26785714
13,0.1,2,B1,4,0.5,0,0.19642857,0.5,0.30357143
14,0.1,2,B1,4,0.51785714,0,0.23214286,0.51785714,0.25
15,0.1,2,B1,4,0.58928571,0,0.16071429,0.58928571,0.25
16,0.1,2,B1,3,0.53571429,0.03571429,0.03571429,0.53571429,0.39285714
17,0.1,2,A1,4,0.58928571,0.10714286,0,0.30357143,0.58928571
18,0.1,2,A1,4,0.69179894,0.12698413,0,0.18121693,0.69179894
19,0.1,2,A1,3,0.49537037,0.35912698,0.07142857,0.07407407,0.49537037
20,0.1,2,B2,4,0.53571429,0.53571429,0.17857143,0,0.28571429
21,0.1,2,B2,3,0.42857143,0.42857143,0.30357143,0.10714286,0.16071429
22,0.1,2,A2,4,0.42857143,0.375,0.42857143,0.19642857,0
23,0.1,2,A2,4,0.51785714,0.25,0.51785714,0.23214286,0
24,0.1,2,A2,3,0.42857143,0.07142857,0.42857143,0.35714286,0.14285714
25,0.1,2,B1,4,0.44642857,0,0.33928571,0.44642857,0.21428571
26,0.1,2,B1,4,0.55357143,0,0.33928571,0.55357143,0.10714286
27,0.1,2,B1,4,0.69642857,0,0.19642857,0.69642857,0.10714286
28,0.1,2,B1,3,0.60714286,0.10714286,0.05357143,0.60714286,0.23214286
29,0.1,2,A1,4,0.40145503,0.21825397,0,0.38029101,0.40145503
30,0.1,2,A1,4,0.49074074,0.20039683,0,0.30886243,0.49074074
31,0.1,2,A1,4,0.51785714,0.125,0,0.35714286,0.51785714
32,0.1,2,A1,4,0.60714286,0.08928571,0,0.30357143,0.60714286
33,0.1,2,A1,3,0.48214286,0.28571429,0.125,0.10714286,0.48214286
34,0.1,2,B2,4,0.51785714,0.51785714,0.21428571,0,0.26785714
35,0.1,2,B2,4,0.51785714,0.51785714,0.125,0,0.35714286
36,0.1,2,B2,4,0.60714286,0.60714286,0.08928571,0,0.30357143
37,0.1,2,B2,2,0.53571429,0.53571429,0.25,0.14285714,0.07142857
38,0.1,2,A2,3,0.35714286,0.16071429,0.35714286,0.30357143,0.17857143
39,0.1,2,B1,4,0.41071429,0,0.25,0.41071429,0.33928571
40,0.1,2,B1,4,0.5,0,0.19642857,0.5,0.30357143
41,0.1,2,B1,4,0.48214286,0,0.26785714,0.48214286,0.25
42,0.1,2,B1,4,0.55357143,0,0.33928571,0.55357143,0.10714286
43,0.1,2,B1,4,0.625,0,0.26785714,0.625,0.10714286
44,0.1,2,B1,4,0.53571429,0,0.26785714,0.53571429,0.19642857
45,0.1,2,B1,2,0.375,0.08928571,0.17857143,0.375,0.35714286
