tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
B1,2,0.34464286,0.1375,0.18035714,0.34464286,0.3375
A2,4,0.47619048,0.16203704,0.47619048,0.36177249,0
A2,4,0.6091954,0.17496807,0.6091954,0.21583653,0
A2,4,0.6091954,0.19348659,0.6091954,0.19731801,0
A2,3,0.51190476,0.21626984,0.51190476,0.11111111,0.16071429
B2,4,0.42857143,0.42857143,0.35714286,0,0.21428571
B2,4,0.69642857,0.69642857,0.25,0,0.05357143
B2,3,0.66071429,0.66071429,0.07142857,0.08928571,0.17857143
A1,4,0.43783069,0.38029101,0,0.18187831,0.43783069
A1,4,0.57407407,0.2962963,0,0.12962963,0.57407407
A1,3,0.4755291,0.14814815,0.14285714,0.23346561,0.4755291
B1,4,0.44642857,0,0.19642857,0.44642857,0.35714286
B1,4,0.57142857,0,0.16071429,0.57142857,0.26785714
B1,4,0.625,0,0.16071429,0.625,0.21428571
B1,4,0.64285714,0,0.14285714,0.64285714,0.21428571
B1,4,0.66071429,0,0.17857143,0.66071429,0.16071429
A1,2,0.375,0.08928571,0.21428571,0.32142857,0.375
A1,2,0.46428571,0.32142857,0.21428571,0,0.46428571
B2,4,0.52524631,0.52524631,0.14100985,0,0.33374384
B2,4,0.57881773,0.57881773,0.12315271,0,0.29802956
B2,4,0.66071429,0.66071429,0.10714286,0,0.23214286
B2,3,0.67857143,0.67857143,0.19642857,0.03571429,0.08928571
B2,1,0.30357143,0.30357143,0.28571429,0.17857143,0.23214286
B2,1,0,0,0.21428571,0.39285714,0.39285714
B1,4,0.57142857,0,0.19642857,0.57142857,0.23214286
B1,4,0.57142857,0,0.26785714,0.57142857,0.16071429
B1,4,0.54310345,0,0.36761084,0.54310345,0.08928571
B1,4,0.59667488,0,0.33189655,0.59667488,0.07142857
B1,4,0.69246032,0,0.19907407,0.69246032,0.10846561
B1,2,0.72222222,0.03703704,0.07407407,0.72222222,0.16666667
A1,3,0.36177249,0.10846561,0.19642857,0.33333333,0.36177249
A1,3,0.37007389,0.31280788,0.31711823,0,0.37007389
B2,4,0.49137931,0.49137931,0.24568966,0,0.26293103
B2,4,0.58928571,0.58928571,0.17857143,0,0.23214286
B2,4,0.64963054,0.64963054,0.19150246,0,0.158867
B2,4,0.60344828,0.60344828,0.24137931,0,0.15517241
B2,2,0.50738916,0.50738916,0.10344828,0.07142857,0.31773399
A1,3,0.39285714,0.21428571,0.21428571,0.17857143,0.39285714
A2,2,0.39285714,0,0.39285714,0.23214286,0.375
A1,3,0.39285714,0,0.26785714,0.33928571,0.39285714
B1,4,0.5,0,0.14285714,0.5,0.35714286
B1,4,0.61904762,0,0.1276455,0.61904762,0.25330688
B1,4,0.72222222,0,0.07407407,0.72222222,0.2037037
B1,4,0.78174603,0,0.03571429,0.78174603,0.18253968
B1,2,0.66071429,0.03571429,0.03571429,0.66071429,0.26785714
A1,3,0.39285714,0.23214286,0.10714286,0.26785714,0.39285714
B2,4,0.40332512,0.40332512,0.22783251,0,0.36884236
B2,4,0.47475369,0.47475369,0.24568966,0,0.27955665
B2,4,0.58928571,0.58928571,0.19642857,0,0.21428571
B2,4,0.57142857,0.57142857,0.21428571,0,0.21428571
B2,3,0.42241379,0.42241379,0.40147783,0.06896552,0.10714286
A2,3,0.50862069,0.17241379,0.50862069,0.21182266,0.10714286
A2,3,0.46428571,0,0.46428571,0.33928571,0.19642857
A2,2,0.41071429,0,0.41071429,0.41071429,0.17857143
B1,4,0.47354497,0,0.34457672,0.47354497,0.18187831
B1,3,0.45568783,0.10714286,0.14814815,0.45568783,0.28902116
B1,3,0.40013228,0.19973545,0,0.40013228,0.40013228
A1,4,0.46232439,0.21328225,0,0.32439336,0.46232439
A1,4,0.52647783,0.17426108,0,0.29926108,0.52647783
A1,4,0.625,0.07142857,0,0.30357143,0.625
A1,3,0.55357143,0.21428571,0.10714286,0.125,0.55357143
B2,4,0.38161376,0.38161376,0.27380952,0,0.34457672
A2,4,0.40740741,0.37037037,0.40740741,0.07407407,0.14814815
